Stage,DataSet,Experiment,SignalType,ExperimentIndex,Output,FitPercent,VAF_Percent,NRMSE,NRMSE_FitPercent,RMSE_rad,RMSE_deg,Bias_rad,Bias_deg,RMSE_NoBias_rad,RMSE_NoBias_deg,AmplitudeMeasured_rad,AmplitudeModel_rad,AmplitudeRatio,PhaseLag_s,PhasePeakCorrelation,ResidInputCorr0,ResidInputCorrMaxAbs
Stage 1,validation,chirp_run_04,chirp,4,theta_1,-6.64025533374217,86.9161478503579,1.06640255333742,-6.64025533374217,0.649724259862292,37.2264579373705,-0.622338651784848,-35.6573781751336,0.186644625821964,10.693949328397,1.09606141473335,1.13952502943488,1.03965436071126,0,0.955217924792099,-0.00415685253170128,0.0514696717338423
Stage 1,validation,chirp_run_04,chirp,4,theta_2,-14.5894929635545,80.003431207362,1.14589492963554,-14.5894929635545,0.704551860709195,40.3678480667259,0.616108660117059,35.3004259461676,0.341765187457049,19.5817028257863,1.14632309632233,1.50330030847689,1.31141064268864,0.03,0.8712040093931,0.108955207822806,0.228368005430737
Stage 1,validation,prbs_run_06,PRBS,5,theta_1,33.1466662421282,90.8781809439948,0.668533337578718,33.1466662421282,0.580189913875107,33.2424333811024,-0.547960070641644,-31.3957993894566,0.190683237713253,10.9253447448592,2.15109379255155,2.02559268585851,0.941657073658248,0,0.975756209705497,-0.0141856039074678,0.0980214681929999
Stage 1,validation,prbs_run_06,PRBS,5,theta_2,27.8942160793524,84.2238533809696,0.721057839206476,27.8942160793524,0.677858819854597,38.8384494833872,0.540485664560239,30.9675474666252,0.409106130557273,23.4400546538598,2.52400046338679,2.30728762844831,0.914139146136415,0.05,0.917858979917831,0.0605125363271728,0.153408471204355
Stage 1,validation,chirp_run_06,chirp,6,theta_1,49.8253090804598,99.1178761900873,0.501746909195402,49.8253090804598,0.233352438753735,13.3701098796741,-0.221781262123024,-12.7071302947339,0.072570189771244,4.15796559235574,0.983964224590167,0.926512152201795,0.941611624739404,0,0.992047659243379,0.101580426103734,0.102620684149686
Stage 1,validation,chirp_run_06,chirp,6,theta_2,33.1141264779768,78.8294894839831,0.668858735220232,33.1141264779768,0.445705410137638,25.537038907034,0.219861952109597,12.5971619313874,0.387703539628563,22.2137765229997,1.58589621073238,1.60521488705885,1.01218155147589,0.03,0.826782771328058,-0.0182202196545213,0.0525905881580446
Stage 1,validation,prbs_run_08,PRBS,7,theta_1,68.8871804902679,95.3137336345409,0.311128195097321,68.8871804902679,0.456345787467218,26.1466876204456,0.363201165237353,20.8098938823339,0.276290411178716,15.8302744804746,2.63391763767807,2.6636201959718,1.01127695029975,0,0.983128890205788,0.147081859738589,0.158714035111272
Stage 1,validation,prbs_run_08,PRBS,7,theta_2,50.1110948045195,88.3794441069143,0.498889051954805,50.1110948045195,0.767935334968911,43.9994536326838,-0.353452918740053,-20.2513605003855,0.681759277845158,39.0619292644144,2.81953688665739,2.870295639926,1.0180025143522,-0.15,0.93461880821556,-0.168517167229577,0.210402528592991
Stage 1,validation,chirp_run_08,chirp,8,theta_1,36.7473632808358,96.8872434378636,0.632526367191642,36.7473632808358,0.389208288823153,22.2999923010754,-0.365547870961176,-20.9443502160682,0.133633252315427,7.65662136028081,1.23013844608108,1.13992680492194,0.926665456683736,0,0.982829159738199,0.0454439848408306,0.0540360624705725
Stage 1,validation,chirp_run_08,chirp,8,theta_2,25.9399329078953,81.1209225649882,0.740600670921047,25.9399329078953,0.550026995527995,31.5142254620151,0.362125123809021,20.7482412499093,0.413998901587739,23.7203897840294,1.66724335754172,1.71401838179754,1.02805530700977,-0.06,0.881318784758469,0.0136011774187298,0.0749996916637025
Stage 2,training,prbs_run_01,PRBS,1,theta_1,59.4989916984938,89.4384117597187,0.405010083015062,59.4989916984938,0.368252836567922,21.0993333290628,-0.245754271350436,-14.0806825456928,0.274253513657231,15.7135688491928,1.54957880492048,1.95349868458371,1.2606643033453,0,0.995014713974672,0.137064102804497,0.17792178550255
Stage 2,training,prbs_run_01,PRBS,1,theta_2,53.5482763084384,97.0697696417596,0.464517236915616,53.5482763084384,0.454014196573716,26.0130973026968,0.243275661348764,13.938668653538,0.38333515790467,21.9634866869186,1.85381938233376,2.09249048118826,1.12874560549369,0.03,0.96082022593605,-0.0173920866058102,0.168551044473034
Stage 2,training,chirp_run_01,chirp,2,theta_1,37.7754443021808,98.6761431712155,0.622245556978192,37.7754443021808,0.264386613400513,15.1482371076063,-0.25628267322979,-14.6839155383974,0.0649574687590642,3.72178880774727,0.746581939581072,0.840678676044867,1.12603671676895,0,0.991346333985992,0.120720415126235,0.18038012004903
Stage 2,training,chirp_run_01,chirp,2,theta_2,33.0011290240193,89.4272911611748,0.669988709759807,33.0011290240193,0.327552506582515,18.7673761961092,0.249759460381238,14.3101629733099,0.211921816995234,12.1422257005707,1.02243661586041,1.26057635435045,1.23291393793604,-0.06,0.963858787820359,-0.0121799559088755,0.132806815560026
Stage 2,training,prbs_run_03,PRBS,3,theta_1,81.4246586540383,99.5966618395926,0.185753413459618,81.4246586540383,0.156804817431303,8.98425424613306,-0.0525665933874627,-3.01184394448191,0.147731188410916,8.46437359839744,1.64629010622048,1.82070345421351,1.1059432643943,0,0.985681990429444,0.0998733252912329,0.158985182147617
Stage 2,training,prbs_run_03,PRBS,3,theta_2,45.5556419818821,81.6652772764333,0.544443580181179,45.5556419818821,0.563713657457652,32.2984134262069,0.0403432835855292,2.31149988115024,0.562268180741024,32.2155937109596,2.17025232038107,2.03550185014621,0.937910228700411,0.03,0.84583334615082,0.0149989675738104,0.160385760617226
Stage 2,training,chirp_run_03,chirp,4,theta_1,65.5839836406985,99.9308147779735,0.344160163593015,65.5839836406985,0.0737957963286539,4.22818767543889,-0.0435916232745611,-2.4976160357566,0.0595448565038905,3.41166896938504,0.49601174984925,0.636050551416136,1.2823296053157,-0.01,0.994724263770045,0.145205689645938,0.268863252739615
Stage 2,training,chirp_run_03,chirp,4,theta_2,50.4126301704815,83.9073896746376,0.495873698295185,50.4126301704815,0.233023051173125,13.3512373614811,0.037763133350727,2.16366816218638,0.22994279318467,13.1747515789312,1.42170930891538,1.47710530228402,1.03896436002863,-0.01,0.875790394066229,-0.0506438984687324,0.127354223281805
Stage 2,training,prbs_run_05,PRBS,5,theta_1,79.1154926449405,97.8577566636735,0.208845073550595,79.1154926449405,0.26035049862085,14.9169847651013,0.0664102291445067,3.80502584647693,0.251738085313088,14.4235298311442,2.34671437927201,2.49963652521359,1.06516436226424,0,0.98047512491618,0.206200232376997,0.209018305745465
Stage 2,training,prbs_run_05,PRBS,5,theta_2,78.9743368826882,98.579714793321,0.210256631173118,78.9743368826882,0.270811722383709,15.5163687352551,-0.0679661538489596,-3.89417376528222,0.262144217772223,15.0197573021067,2.77401233660813,2.8609167069266,1.03132804031605,-0.01,0.980204384353473,-0.164495707569946,0.17700172664695
Stage 2,training,chirp_run_05,chirp,6,theta_1,-7.68924652099467,82.2993790725182,1.07689246520995,-7.68924652099467,0.653123413736029,37.4212151082511,-0.615458013172912,-35.2631466223149,0.218590090332237,12.5242896194206,1.08726947825153,1.29532399307644,1.19135505869206,0,0.950019086403396,0.0115854237035328,0.108455982431854
Stage 2,training,chirp_run_05,chirp,6,theta_2,-16.7646098920064,82.0777961920449,1.16764609892006,-16.7646098920064,0.775113476846112,44.4107308669935,0.601909991066377,34.4869021348605,0.488370007927332,27.9815402950067,1.33588433751104,1.51014931544346,1.13044915120204,0.19,0.899282681980443,0.0944753228554426,0.265384218961346
Stage 2,training,prbs_run_07,PRBS,7,theta_1,44.4642877576094,95.9812100768522,0.555357122423906,44.4642877576094,0.41220153354923,23.6174081811911,-0.388993859198677,-22.2877063885904,0.136359384591077,7.81281723406993,2.05218450713109,2.14161934788274,1.04358031182911,-0.01,0.987783582311297,0.135469314397764,0.143724288381126
Stage 2,training,prbs_run_07,PRBS,7,theta_2,29.4839099120842,82.5818734194206,0.705160900879158,29.4839099120842,0.633399879709289,36.2911398514363,0.379622367211449,21.7507594499816,0.507032805574272,29.050839834083,2.42698093049492,2.53795023005286,1.04572318561041,-0.02,0.859755281929923,0.0142072405058317,0.123151050583939
Stage 2,training,chirp_run_07,chirp,8,theta_1,81.8830221281878,99.9542266901612,0.181169778718122,81.8830221281878,0.0590427252619623,3.38289896846089,-0.0118780105128081,-0.680559871395929,0.0578355969331793,3.31373560989094,0.753908553315921,0.878193265076367,1.16485382904041,-0.01,0.997771130213674,0.215493921004441,0.277861842785845
Stage 2,training,chirp_run_07,chirp,8,theta_2,33.9008016893096,69.3299620868723,0.660991983106904,33.9008016893096,0.407585342933827,23.3529199415006,0.00845924908315644,0.484679270314775,0.407497549537951,23.3478897504478,1.82993765116038,1.81081412463825,0.989549629458684,0.03,0.780471936068164,-0.0319246219689731,0.0618863592711194
Stage 2,training,prbs_run_09,PRBS,9,theta_1,64.4835135616944,97.4749267483375,0.355164864383056,64.4835135616944,0.316681482434666,18.1445123934527,-0.248534270800594,-14.2399647812356,0.196259719643727,11.2448536240064,2.17527161787655,2.13742651058482,0.982602123348315,-0.02,0.975980040226963,0.104978662471861,0.11411101641041
Stage 2,training,prbs_run_09,PRBS,9,theta_2,58.035798128381,94.264283589395,0.41964201871619,58.035798128381,0.394500298145544,22.6032021003923,0.23707969234416,13.5836657795804,0.31531524656274,18.0662328441719,2.7583399505256,2.5885260774055,0.93843620577379,0,0.944856153692431,-0.0141854507210828,0.143989158394477
Stage 2,training,chirp_run_09,chirp,10,theta_1,78.2004790062891,99.8816515522376,0.217995209937109,78.2004790062891,0.08996705552722,5.15473257692883,-0.0746679164358597,-4.27815647681027,0.0501873822326424,2.87552518674027,0.910698087241681,1.0265907248173,1.12725692433003,-0.01,0.996062355786861,0.254055467584909,0.342827262272707
